"abund","pH","space"
5,7.42499535972354,0.1
5,7.44775743277963,0.15
11,7.47830471489793,0.2
10,7.51016797297308,0.25
11,7.53932186228604,0.3
7,7.55965535040462,0.35
22,7.59143109489435,0.4
15,7.64879017058654,0.45
19,7.64524745198438,0.5
19,7.67561095003602,0.55
2,7.43494052246468,0.15
6,7.48163313874803,0.2
7,7.49000116098872,0.25
10,7.53814572539672,0.3
15,7.57090030735028,0.35
22,7.58841788292954,0.4
22,7.61462428088431,0.45
17,7.62548220189366,0.5
21,7.65555354099607,0.55
17,7.70235532594784,0.6
6,7.45037130188855,0.2
7,7.48304983231739,0.25
7,7.50683358001967,0.3
15,7.5317563468278,0.35
17,7.57826613809339,0.4
13,7.59155398189875,0.45
18,7.61891033238098,0.5
21,7.65780971696881,0.55
19,7.66158339042942,0.6
21,7.71168677607418,0.65
13,7.47156102918564,0.25
5,7.47301982539074,0.3
10,7.505582646468,0.35
17,7.53834570917633,0.4
17,7.55448029803201,0.45
14,7.58812473830977,0.5
12,7.62215016779917,0.55
17,7.65844380306161,0.6
26,7.70353549562082,0.65
29,7.7176507828919,0.7
4,7.47197755709977,0.3
7,7.5045761574361,0.35
15,7.53229194085555,0.4
21,7.56867878082148,0.45
14,7.5756013001479,0.5
23,7.61603979248198,0.55
16,7.62730365236532,0.6
22,7.67867010275236,0.65
21,7.7049350417755,0.7
28,7.72661958264125,0.75
12,7.49663060871486,0.35
20,7.52273515085337,0.4
8,7.5302664962863,0.45
21,7.57078472245297,0.5
22,7.59423918807233,0.55
19,7.62613484309831,0.6
14,7.64806362767482,0.65
27,7.65576708904518,0.7
23,7.70287450706653,0.75
38,7.7422572979319,0.8
11,7.50532953564277,0.4
12,7.5199782477037,0.45
18,7.54383336871041,0.5
23,7.58300119533951,0.55
14,7.58519825801307,0.6
26,7.64503244929776,0.65
19,7.64413550753369,0.7
35,7.69730756545846,0.75
28,7.7242415191266,0.8
38,7.74672903198935,0.85
10,7.50761139911578,0.45
10,7.53016549183908,0.5
14,7.56783606376539,0.55
24,7.59213934520019,0.6
15,7.60867126098224,0.65
27,7.65933645769951,0.7
25,7.68782965332878,0.75
28,7.70493216385162,0.8
41,7.72632921014219,0.85
24,7.76070365026209,0.9
13,7.53258338484145,0.5
10,7.54282785921244,0.55
12,7.58292106048802,0.6
29,7.61318665613677,0.65
14,7.6275973368771,0.7
17,7.64659839070275,0.75
37,7.6971358833673,0.8
34,7.72525600157812,0.85
31,7.74024767027397,0.9
34,7.7681571564424,0.95
16,7.53133583610646,0.55
12,7.55794665614152,0.6
22,7.5978773142261,0.65
29,7.62406666401503,0.7
19,7.64662444431722,0.75
20,7.69464080796499,0.8
28,7.68921358505632,0.85
26,7.71979358982813,0.9
36,7.76003372223109,0.95
21,7.8,1
